comic_id,area,photo
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_170725.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_172910.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_171028.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_125948.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_130003.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_130205.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_125910.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_125939.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_130137.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_125922.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_130045.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_130126.jpg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/back.jpeg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/20241222_130024.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150921.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150853.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150836.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150823.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150820.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150940.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150945.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150744.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150805.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150757.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/20250116_150812.jpg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/back.jpeg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114428.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114415.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114600.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114458.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114504.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114444.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114527.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114541.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114435.jpg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/back.jpeg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/20241013_114422.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180224.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180233.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180108.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180118.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180125.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180131.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180114.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_175200.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180148.jpg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/back.jpeg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/20250114_180210.jpg
18600,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18600/two-gun kid 79/back.jpeg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134110.jpg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134129.jpg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134205.jpg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/20241222_134231.jpg
